State,Status,State name
AN,Falling,Andaman and Nicobar
AP,Rising,Andhra Pradesh
AR,Rising,Arunachal Pradesh
AS,Rising,Assam
BR,Rising,Bihar
CH,Rising,Chandigarh
CT,Rising,Chhattisgarh
DN,Stable,Dadra and Nagar Haveli
DL,Falling,Delhi
GA,Rising,Goa
GJ,Rising,Gujarat
HR,Rising,Haryana
HP,Stable,Himachal Pradesh
JK,Rising,Jammu and Kashmir
JH,Rising,Jharkhand
KA,Rising,Karnataka
KL,Rising,Kerala
LA,Falling,Ladakh
MP,Rising,Madhya Pradesh
MH,Rising,Maharashtra
MN,Falling,Manipur
ML,Rising,Meghalaya
MZ,Stable,Mizoram
NL,Rising,Nagaland
OR,Rising,Odisha
PY,Rising,Puducherry
PB,Rising,Punjab
RJ,Rising,Rajasthan
SK,Rising,Sikkim
TN,Rising,Tamil Nadu
TG,Rising,Telangana
TR,Rising,Tripura
UP,Rising,Uttar Pradesh
UT,Stable,Uttarakhand
WB,Rising,West Bengal